Hawaii,,,,
Date ,CO,14CO,pMC,D14C
14/11/2017,88.8,9.83,352.2,2522.328108
28/11/2017,96.9,11.48,377.0,2769.705015
28/11/2017,95.1,11.08,370.7,2707.221199
12/12/2017,81.8,7.52,292.5,1925.188068
26/12/2017,83.4,8.6,328.1,2281.116547
26/12/2017,85.9,8.39,310.8,2107.835716
11/01/2018,102.8,10.44,323.1,2231.444047
25/01/2018,83.4,8.45,322.4,2223.88777
25/01/2018,83.5,8.39,319.7,2197.162731
08/02/2018,99,12.94,415.9,3158.994424
08/02/2018,99.9,13.04,415.3,3153.377057
22/02/2018,91.6,9.51,330.3,2303.499913
06/03/2018,94.1,9.76,330.0,2300.269841
05/04/2018,78,6.74,275.0,1749.505231
17/04/2018,96.7,9.92,326.4,2264.182668
17/04/2018,96.1,9.68,320.5,2205.097357
03/05/2018,87.3,8.66,315.6,2156.406323
18/05/2018,86.5,8.25,303.5,2034.779191
18/05/2018,89.5,8.72,310.0,2100.149989
31/05/2018,86.7,9.81,360.0,2600.303945
19/06/2018,73.3,5.44,236.1,1361.479509
26/06/2018,75.5,6.99,294.6,1945.91004
26/06/2018,73.2,6.77,294.3,1942.841311
12/07/2018,71.3,5.92,264.2,1641.930771
12/07/2018,70.7,6.21,279.5,1794.868911
02/08/2018,64.5,4.99,246.2,1461.671442
14/08/2018,80.3,6.11,242.1,1421.112229
14/08/2018,81.9,6.41,249.0,1490.367179
21/08/2018,63.7,5.75,287.2,1872.21978
04/09/2018,66.5,6.35,303.8,2038.374737
04/09/2018,66.6,6.55,312.9,2129.365766
04/10/2018,85.1,6.89,257.6,1576.196099
04/10/2018,85.7,6.98,259.2,1591.575449
18/10/2018,79.4,6.94,278.1,1781.174408
01/11/2018,78.2,8.22,334.5,2344.678056
01/11/2018,78.5,8.02,325.1,2250.827822
,,,,
Summer:,96.9,,,
Winter: ,,,,
