Table S2: Atmospheric forcing datasets for ?14CO2 and ?13CO2 for the six SSP-based scenarios. Units are ‰. ,,,,,,,,,,,,
"From Graven et al. Changes to Carbon Isotopes in Atmospheric CO2 over the Industrial Era and into the Future, Global Biogeochemical Cycles, 2020.",,,,,,,,,,,,
,SSP119,SSP119,SSP126,SSP126,SSP245,SSP245,SSP370,SSP370,SSP534os,SSP534os,SSP585,SSP585
,D14C,d13C,D14C,d13C,D14C,d13C,D14C,d13C,D14C,d13C,D14C,d13C
2005,66.1,-8.2,66.1,-8.2,66.1,-8.2,66.1,-8.2,66.1,-8.2,66.1,-8.2
2006,61.7,-8.22,61.7,-8.22,61.7,-8.22,61.7,-8.22,61.7,-8.22,61.7,-8.22
2007,57,-8.24,57,-8.24,57,-8.24,57,-8.24,57,-8.24,57,-8.24
2008,52.2,-8.26,52.2,-8.26,52.2,-8.26,52.2,-8.26,52.2,-8.26,52.2,-8.26
2009,47.6,-8.28,47.6,-8.28,47.6,-8.28,47.6,-8.28,47.6,-8.28,47.6,-8.28
2010,43.4,-8.3,43.4,-8.3,43.4,-8.3,43.4,-8.3,43.4,-8.3,43.4,-8.3
2011,39.1,-8.34,39.1,-8.34,39.1,-8.34,39.1,-8.34,39.1,-8.34,39.1,-8.34
2012,34.7,-8.36,34.7,-8.36,34.7,-8.36,34.7,-8.36,34.7,-8.36,34.7,-8.36
2013,30.4,-8.4,30.4,-8.4,30.4,-8.4,30.4,-8.4,30.4,-8.4,30.4,-8.4
2014,26.1,-8.42,26.1,-8.42,26.1,-8.42,26.1,-8.42,26.1,-8.42,26.1,-8.42
2015,21.9,-8.43,21.9,-8.43,21.9,-8.43,21.9,-8.43,21.9,-8.43,21.9,-8.43
2016,18.3,-8.47,18,-8.47,18,-8.47,17.7,-8.47,17.8,-8.47,17.8,-8.47
2017,15.1,-8.51,14.4,-8.51,14.2,-8.51,13.6,-8.51,13.8,-8.51,13.8,-8.51
2018,12.3,-8.55,10.9,-8.55,10.7,-8.55,9.5,-8.56,9.9,-8.55,9.9,-8.55
2019,9.8,-8.59,7.6,-8.59,7.2,-8.59,5.3,-8.61,6,-8.6,6,-8.6
2020,7.6,-8.61,4.4,-8.62,3.9,-8.62,1.2,-8.65,2.1,-8.64,2.1,-8.64
2021,5.6,-8.64,1.3,-8.64,0.7,-8.65,-2.9,-8.69,-1.7,-8.68,-1.7,-8.68
2022,3.9,-8.66,-1.6,-8.67,-2.5,-8.68,-6.9,-8.73,-5.6,-8.72,-5.6,-8.71
2023,2.5,-8.67,-4.3,-8.69,-5.6,-8.71,-10.9,-8.78,-9.6,-8.76,-9.6,-8.75
2024,1.4,-8.68,-6.9,-8.71,-8.7,-8.73,-14.9,-8.82,-13.6,-8.81,-13.6,-8.8
